Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SQT031_paired	3.3728	93.19359348300783	71453789.0	76672426.0	1.13										
SQT031_paired_flagstats						76672426	71453789								
SQT031_paired_qualimap								40.74531708863283	228	82.43142601500884	19.94725200536069	4.626105931136394	0.6856004024509127	0.2108388065680257	2
SQT031_unpaired	0.5381	87.32882587686174	15174083.0	17375801.0	1.02										
SQT031_unpaired_flagstats						17375801	15174083								
SQT031_unpaired_qualimap								41.75658051198767		32.66191746549638	1.0079618007216167	0.17131727926362397	0.017060043549065488	0.009932168478612021	0
SQT034_paired	3.257	92.92556222820365	69060253.0	74317821.0	1.13										
SQT034_paired_flagstats						74317821	69060253								
SQT034_paired_qualimap								40.843055423768355	249	82.5361268696095	18.370611809516042	4.360879808881025	0.6497670580250062	0.19527020440370763	2
SQT034_unpaired	0.2515	82.39331275032107	6812799.0	8268631.0	1.04										
SQT034_unpaired_flagstats						8268631	6812799								
SQT034_unpaired_qualimap								41.612652071546535		17.890703089223855	0.2479407819046019	0.035201675133542824	0.008178064339870632	0.0049627809754626785	0
SQT047_paired	3.2821	92.45753372413152	69886673.0	75587862.0	1.1199999999999999										
SQT047_paired_flagstats						75587862	69886673								
SQT047_paired_qualimap								40.3843162649852	257	83.64911505625571	18.695765708898172	4.254264482009861	0.6248291564371867	0.1887354250284795	2
SQT047_unpaired	0.1806	77.37892438132691	4923850.0	6363296.0	1.03										
SQT047_unpaired_flagstats						6363296	4923850								
SQT047_unpaired_qualimap								41.42728595796622		13.691870109465489	0.11929144203460242	0.020361282811332187	0.006142294800294592	0.0036577076056180926	0
SQT056_paired	3.2516	92.92275727591843	69240363.0	74513892.0	1.13										
SQT056_paired_flagstats						74513892	69240363								
SQT056_paired_qualimap								40.45669523650159	241	82.43231853558792	18.46386728112716	4.398113985809267	0.633736851377807	0.17905327455194506	2
SQT056_unpaired	0.2597	82.57937774842338	7071723.0	8563546.0	1.04										
SQT056_unpaired_flagstats						8563546	7071723								
