Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
scca0551_paired_flagstats	69240721	0	0	0	2560815	0	0	0	66360571	0	95.84	nan	66679906	0	33339953	0	33339953	0	55630828	0	83.43	nan	62056964	0	1742792	0	2.61	nan	5909028	0	4445880	0	69240721
scca0551_unpaired_flagstats	13304246	0	0	0	104082	0	0	0	12187326	0	91.6	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13304246
scca0554_paired_flagstats	64507518	0	0	0	2665218	0	0	0	61432138	0	95.23	nan	61842300	0	30921150	0	30921150	0	48475912	0	78.39	nan	57168064	0	1598856	0	2.59	nan	8154814	0	6365368	0	64507518
scca0554_unpaired_flagstats	9351674	0	0	0	66624	0	0	0	8190722	0	87.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9351674
scca0561_paired_flagstats	71800502	0	0	0	3861840	0	0	0	68822749	0	95.85	nan	67938662	0	33969331	0	33969331	0	53033224	0	78.06	nan	63200010	0	1760899	0	2.59	nan	9577114	0	7735430	0	71800502
scca0561_unpaired_flagstats	14067523	0	0	0	127036	0	0	0	12800601	0	90.99	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	14067523
scca0583_paired_flagstats	87837813	0	0	0	1999467	0	0	0	83986652	0	95.62	nan	85838346	0	42919173	0	42919173	0	72628744	0	84.61	nan	79807728	0	2179457	0	2.54	nan	6530868	0	4914187	0	87837813
scca0583_unpaired_flagstats	13661842	0	0	0	65632	0	0	0	12284909	0	89.92	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13661842
scca0586_paired_flagstats	81201655	0	0	0	4699281	0	0	0	77656772	0	95.63	nan	76502374	0	38251187	0	38251187	0	56822158	0	74.28	nan	70807052	0	2150439	0	2.81	nan	13222022	0	10435514	0	81201655
scca0586_unpaired_flagstats	13316675	0	0	0	129416	0	0	0	12082623	0	90.73	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13316675
scca0587_paired_flagstats	91085811	0	0	0	3264419	0	0	0	86950853	0	95.46	nan	87821392	0	43910696	0	43910696	0	69595008	0	79.25	nan	81278844	0	2407590	0	2.74	nan	10908180	0	8545295	0	91085811
scca0587_unpaired_flagstats	10710938	0	0	0	75189	0	0	0	9476669	0	88.48	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10710938
scca1001_paired_flagstats	67517323	0	0	0	344163	0	0	0	62339974	0	92.33	nan	67173160	0	33586580	0	33586580	0	57893072	0	86.18	nan	59262256	0	2733555	0	4.07	nan	1101538	0	663120	0	67517323
scca1001_unpaired_flagstats	7035764	0	0	0	18297	0	0	0	5637568	0	80.13	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7035764
scca1025_paired_flagstats	63849306	0	0	0	461938	0	0	0	59250489	0	92.8	nan	63387368	0	31693684	0	31693684	0	54714748	0	86.32	nan	56395130	0	2393421	0	3.78	nan	1356916	0	886476	0	63849306
scca1025_unpaired_flagstats	8116385	0	0	0	25585	0	0	0	6719913	0	82.79	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8116385
scca1029_paired_flagstats	66739077	0	0	0	1798921	0	0	0	61898431	0	92.75	nan	64940156	0	32470078	0	32470078	0	52037534	0	80.13	nan	57535834	0	2563676	0	3.95	nan	5089904	0	3792250	0	66739077
scca1029_unpaired_flagstats	8785498	0	0	0	58795	0	0	0	7300852	0	83.1	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8785498
scca1039_paired_flagstats	59261313	0	0	0	332075	0	0	0	54913789	0	92.66	nan	58929238	0	29464619	0	29464619	0	50955432	0	86.47	nan	52292716	0	2288998	0	3.88	nan	1102160	0	695065	0	59261313
scca1039_unpaired_flagstats	5063213	0	0	0	13676	0	0	0	3990505	0	78.81	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	5063213
scca1046_paired_flagstats	67457331	0	0	0	1609511	0	0	0	62852339	0	93.17	nan	65847820	0	32923910	0	32923910	0	54489376	0	82.75	nan	58870656	0	2372172	0	3.6	nan	3909584	0	2926159	0	67457331
scca1046_unpaired_flagstats	12083436	0	0	0	68949	0	0	0	10360545	0	85.74	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12083436
